epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.47,1.08106,3.40312,1.82071,0.69079,0.11577,0.38412,0.22746,1.09629,3.69237,1.91397,0.00036436,0.00036436,0.00036436
2,1450.1,1.03352,2.50771,1.78504,0.50837,0.67395,0.60031,0.37434,1.24083,3.05415,1.99361,0.000661959,0.000661959,0.000661959
3,2165.84,1.07858,2.14734,1.79951,0.48749,0.51607,0.52559,0.29503,1.44392,3.45419,2.15812,0.000886232,0.000886232,0.000886232
4,2877.34,1.05743,1.86275,1.73539,0.69104,0.63807,0.67462,0.41383,1.2286,2.23854,1.95781,0.000781033,0.000781033,0.000781033
5,3590.53,1.00602,1.68408,1.66828,0.74871,0.71236,0.77337,0.47952,1.23045,2.37411,1.90684,0.000671044,0.000671044,0.000671044
6,4336.11,0.98807,1.4705,1.66734,0.73434,0.74453,0.78082,0.46269,1.34339,1.89702,2.00665,0.000561055,0.000561055,0.000561055
7,5056.32,0.92181,1.31315,1.59422,0.79785,0.87199,0.93218,0.63236,1.08803,1.40283,1.76954,0.000451066,0.000451066,0.000451066
8,5769.91,0.87236,1.12472,1.5311,0.89268,0.89283,0.93836,0.64613,1.06435,1.31691,1.69549,0.000341077,0.000341077,0.000341077
9,6475.46,0.85974,1.04636,1.52153,0.92055,0.88899,0.94895,0.67053,1.01895,1.15387,1.67588,0.000231088,0.000231088,0.000231088
10,7184.69,0.79759,0.9249,1.45291,0.88223,0.94196,0.95546,0.6862,0.99572,1.07005,1.63541,0.000121099,0.000121099,0.000121099
